State,2018 Population
California,39.77683
Texas,28.70433
Florida,21.312211
New York,19.862512
Pennsylvania,12.823989
Illinois,12.76832
Ohio,11.694664
Georgia,10.545138
North Carolina,10.390149
Michigan,9.991177
New Jersey,9.032872
Virginia,8.52566
Washington,7.530552
Arizona,7.123898
Massachusetts,6.895917
Tennessee,6.782564
Indiana,6.699629
Missouri,6.135888
Maryland,6.079602
Wisconsin,5.818049
Colorado,5.684203
Minnesota,5.628162
South Carolina,5.088916
Alabama,4.888949
Louisiana,4.682509
Kentucky,4.472265
Oregon,4.199563
Oklahoma,3.940521
Connecticut,3.588683
Iowa,3.160553
Utah,3.159345
Nevada,3.056824
Arkansas,3.020327
Mississippi,2.982785
Kansas,2.918515
New Mexico,2.090708
Nebraska,1.932549
West Virginia,1.803077
Idaho,1.75386
Hawaii,1.426393
New Hampshire,1.350575
Maine,1.341582
Montana,1.06233
Rhode Island,1.061712
Delaware,0.97118
South Dakota,0.87779
North Dakota,0.755238
Alaska,0.738068
District of Columbia,0.703608
Vermont,0.62396
Wyoming,0.57372
American Samoa,0.055312
Guam,0.167294
Northern Mariana Islands,0.057215999999999996
Puerto Rico,3.194
Virgin Islands,0.10663099999999999
